claim,evidence,label
Love & Friendship spotlights Chloë Sevigny.,Love & Friendship is a 2016 period comedy film written and directed by Whit Stillman .,NOT ENOUGH INFO
Homeland is based on the classic BBC series Til Death Do Us Part.,"Homeland is an American spy thriller television series developed by Howard Gordon and Alex Gansa based on the Israeli series Prisoners of War -LRB- Original title חטופים Hatufim , literally `` Abductees '' -RRB- , which was created by Gideon Raff .",REFUTES
True Blood is a science-fiction television series.,television series produced and created by Alan Ball and based on The Southern Vampire Mysteries series of novels by Charlaine Harris .|True Blood is an American dark fantasy horror,REFUTES
Jordan Knight is the lead singer of a band.,"Jordan Nathaniel Marcel Knight -LRB- born May 17 , 1970 -RRB- is an American singer-songwriter and actor , best known as the lead singer of the boy band New Kids on the Block -LRB- NKOTB -RRB- , who rose to fame in the 1980s and 1990s .",SUPPORTS
Adam Driver has had supporting roles.,"He rose to prominence in the supporting role of Adam Sackler in the HBO comedy-drama series Girls -LRB- 2012 -- 2017 -RRB- , for which he received three consecutive nominations for the Primetime Emmy Award for Outstanding Supporting Actor in a Comedy Series .",SUPPORTS
Steve Coogan portrayed Bill Gates.,"Stephen John Coogan -LRB- born 14 October 1965 -RRB- is an Irish-English actor , stand-up comedian , impressionist , screenwriter , and producer .|William Henry Gates III -LRB- born October 28 , 1955 -RRB- is the co-founder of Microsoft and is an American business magnate , investor , author and philanthropist .",NOT ENOUGH INFO
Thor: The Dark World is a movie.,"Thor : The Dark World is a 2013 American superhero film based on the Marvel Comics character Thor , produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures .",SUPPORTS
Loki is the male sibling of Helblindi and Byleistr.,"Loki is the son of Fárbauti and Laufey , and the brother of Helblindi and Býleistr .",SUPPORTS
Conquest of the Planet of the Apes is a short.,"Conquest of the Planet of the Apes is a 1972 science fiction film directed by J. Lee Thompson and written by Paul Dehn .|Conquest may refer to :|Planet of the Apes is an American science fiction media franchise consisting of films , books , television series , comics , and other media about a world in which humans and intelligent apes clash for control .|Planet of the Apes is an American science fiction media franchise consisting of films , books , television series , comics , and other media about a world in which humans and intelligent apes clash for control .|Short or shortness may refer to :",NOT ENOUGH INFO
Vincent van Gogh is from Amsterdam.,"Famous Amsterdam residents include the diarist Anne Frank , artists Rembrandt van Rijn and Vincent van Gogh , and philosopher Baruch Spinoza .",SUPPORTS
Chester Bennington is a person.,He was originally the lead vocalist for Sean Dowdell And His Friends ?,SUPPORTS
Inspectah Deck is stateless.,"Jason Hunter -LRB- born July 6 , 1970 -RRB- better known by his stage name Inspectah Deck , is an American rapper , producer , and member of the groups Wu-Tang Clan and Czarface .",REFUTES
Tender Mercies is a drama from America.,Tender Mercies is a 1983 American drama film directed by Bruce Beresford .,SUPPORTS
Cristiano Ronaldo was a professional athlete.,"Cristiano Ronaldo dos Santos Aveiro , -LRB- -LSB- kɾiʃ ` tjɐnu ʁuˈnaɫdu -RSB- , born 5 February 1985 -RRB- is a Portuguese professional footballer for Spanish club Real Madrid and the Portugal national team .",SUPPORTS
Paul Simon is a person.,"Paul Frederic Simon -LRB- born October 13 , 1941 -RRB- is an American musician , singer-songwriter and actor .",SUPPORTS
Baby Driver starred Eiza González.,"Baby Driver is a 2017 British -- American action comedy film written and directed by Edgar Wright , and starring Ansel Elgort , Kevin Spacey , Lily James , Jon Bernthal , Eiza González , Jon Hamm and Jamie Foxx .",SUPPORTS
David Dhawan is a film director.,David Dhawan -LRB- born Rajinder Dhawan on 16 August 1955 -RRB- is an Indian film director who works in Hindi films .,SUPPORTS
Nina Simone graduated Juilliard.,"Nina Simone -LRB- -LSB- ˈniːnə_sᵻˈmoʊn -RSB- born Eunice Kathleen Waymon ; February 21 , 1933 -- April 21 , 2003 -RRB- was an American singer , songwriter , pianist , arranger , and activist in the Civil Rights Movement .|The Juilliard School -LRB- -LSB- ˌdʒuːliˈɑrd -RSB- -RRB- located in the Lincoln Center for the Performing Arts on the Upper West Side of Manhattan , New York City , is a performing arts conservatory established in 1905 .",NOT ENOUGH INFO
The Challenge was a reality game show.,"The Challenge -LRB- originally known as Road Rules : All Stars , followed by Real World/Road Rules Challenge -RRB- is a reality game show on MTV that is spun off from the network 's two reality shows , Real World and Road Rules .",SUPPORTS
Rumi's influence transcends ethnic divisions.,"Rumi 's influence transcends national borders and ethnic divisions : Iranians , Tajiks , Turks , Greeks , Pashtuns , other Central Asian Muslims , and the Muslims of South Asia have greatly appreciated his spiritual legacy for the past seven centuries .",SUPPORTS
Swedish Empire was ruled by Gustavus Adolphus from 1611 to 1632.,"The beginning of the Empire is usually taken as the reign of Gustavus Adolphus , who ascended the throne in 1611 , and the end as the loss of territories in 1721 following the Great Northern War .|Gustav II Adolf -LRB- 9 December 1594 -- 6 November 1632 , O.S. -RRB- ; widely known in English by his Latinised name Gustavus Adolphus or as Gustav II Adolph , was the King of Sweden from 1611 to 1632 and is credited as the founder of Sweden as a Great Power -LRB- Stormaktstiden -RRB- .",SUPPORTS
"Her was given a wide release on January 10, 2014.","It was later given a wide release at over 1,700 theaters in the United States and Canada on January 10 , 2014 .",SUPPORTS
Las Vegas's population has grown.,"Population growth has accelerated since the 1960s , and between 1990 and 2000 the population nearly doubled , increasing by 85.2 % .",SUPPORTS
Snowpiercer is co-written by a Bostonian.,"Snowpiercer -LRB- hangul : 설국열차 ; hanja : 雪國列車 ; RR : Seolgungnyeolcha -RRB- is a 2013 English-language South Korean-Czech science fiction thriller film based on the French graphic novel Le Transperceneige by Jacques Lob , Benjamin Legrand and Jean-Marc Rochette .|A Bostonian is a person born in Boston , Massachusetts , United States , or of Boston , Lincolnshire , England .",NOT ENOUGH INFO
Gwen Stefani is in an American football league.,"Gwen Renée Stefani -LRB- -LSB- gwɛn_ˈstəˈfɑːni -RSB- born October 3 , 1969 -RRB- is an American singer , songwriter , fashion designer , actress , and television personality .|The National Football League -LRB- NFL -RRB- is a professional American football league consisting of 32 teams , divided equally between the National Football Conference -LRB- NFC -RRB- and the American Football Conference -LRB- AFC -RRB- .",NOT ENOUGH INFO
One type of spread is Vegemite.,"A spread is a food that is literally spread , generally with a knife , onto food products such as bread and crackers .",SUPPORTS
The Divergent film series was worked on by Octavia Spencer.,"Recently , Spencer has received acclaim for her work in the films Get on Up , Black or White , Smashed , Snowpiercer , The Divergent Series : Insurgent , and Zootopia .",SUPPORTS
Ramayanam was produced by M. S. Reddy and directed by Gunasekhar.,Ramayanam is a 1996 mythological Telugu film directed by Gunasekhar and produced by M. S. Reddy .,SUPPORTS
Man of Steel features the DC Comics character Superman.,Man of Steel is a 2013 superhero film featuring the DC Comics character Superman .,SUPPORTS
Leukemia has to do with a lack of normal blood cells.,These symptoms occur due to a lack of normal blood cells .,SUPPORTS
Judy Garland did not appear in a courtroom drama film.,"Film appearances became fewer in her later years , but included two Academy Award nominated performances in A Star Is Born -LRB- 1954 -RRB- and Judgment at Nuremberg -LRB- 1961 -RRB- .|Judgment at Nuremberg is a 1961 American courtroom drama film directed by Stanley Kramer , written by Abby Mann and starring Spencer Tracy , Burt Lancaster , Richard Widmark , Maximilian Schell , Werner Klemperer , Marlene Dietrich , Judy Garland , William Shatner , and Montgomery Clift .",REFUTES
Clubber Lang was in Arizona.,"James `` Clubber '' Lang is a fictional character created by Sylvester Stallone for the film Rocky III , which was released in 1982 .|Arizona -LRB- -LSB- ɛərᵻˈzoʊnə , _ ærᵻ - -RSB- -RRB- -LRB- Hoozdo Hahoodzo -LSB- xòːztò xɑ̀xòːtsò -RSB- O'odham : Alĭ ṣonak -LSB- ˡaɺi ˡʃonak -RSB- -RRB- is a state in the southwestern region of the United States .",NOT ENOUGH INFO
Until Dawn is a game.,Until Dawn is an interactive drama survival horror adventure video game developed by Supermassive Games and published by Sony Computer Entertainment for the PlayStation 4 .,SUPPORTS
Christoph Waltz married on October 4th.,Christoph Waltz -LRB- -LSB- ˈkrɪstɔf ˈvalts -RSB- ; born 4 October 1956 -RRB- is an Austrian-German actor .|,NOT ENOUGH INFO
Timothy Olyphant was born.,"Timothy David Olyphant -LRB- -LSB- ˈɔːlʌfɪnt -RSB- ; born May 20 , 1968 -RRB- is an American actor and producer .",SUPPORTS
Telangana contains the city Warangal.,"Its major cities include Hyderabad , Warangal , Khammam , Karimnagar and Nizamabad .",SUPPORTS
Bonnie Hunt narrated Cheaper by the Dozen.,"The film was directed by Shawn Levy , narrated by Bonnie Hunt , and starring Steve Martin .",SUPPORTS
The Levant was ruled by the House of Lusignan.,"The House of Lusignan -LRB- -LSB- ˈluːzᵻnjɒn -RSB- -RRB- was a royal house of French origin , which ruled much of Europe and the Levant , including the kingdoms of Jerusalem , Cyprus , and Armenia , from the 12th through the 15th centuries during the Middle Ages .",SUPPORTS
The Ten Commandments influence multiple religions.,"The Ten Commandments , also known as the Decalogue , are a set of biblical laws relating to ethics and worship , which play a fundamental role in Judaism , Christianity , and Islam .",SUPPORTS
"The Hangover Part III includes Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha, and Ken Jeong, Jeffrey Tambor, Heather Graham, Mike Epps, Melissa McCarthy and John Goodman.","The film stars Bradley Cooper , Ed Helms , Zach Galifianakis , Justin Bartha , and Ken Jeong .|The supporting cast includes Jeffrey Tambor , Heather Graham , Mike Epps , Melissa McCarthy and John Goodman with Todd Phillips directing a screenplay written by himself and Craig Mazin .",SUPPORTS
Dileep (actor) assisted a kitten.,"Dileep may refer to :|Dileep may refer to :|An actor -LRB- often actress for females ; see terminology -RRB- is a person who portrays a character in a performance .|A kitten , also known as a kitty or kitty cat , is a juvenile cat .",NOT ENOUGH INFO
Narendra Modi has been prosecuted.,"Narendra Damodardas Modi -LRB- -LSB- ˈnəɾeːnd̪rə d̪aːmoːd̪əɾˈd̪aːs ˈmoːd̪iː -RSB- , born 17 September 1950 -RRB- is an Indian politician who is the 14th and current Prime Minister of India , in office since May 2014 .",NOT ENOUGH INFO
Ariana Grande's second album debuted at number one in the United States when it was released in 2014.,"Grande 's second studio album , My Everything -LRB- 2014 -RRB- , debuted at number one in the US and charted in the top 10 in 24 other countries .",SUPPORTS
Ted Bundy committed assaults in the seventies.,"Theodore Robert Bundy -LRB- born Theodore Robert Cowell ; November 24 , 1946 -- January 24 , 1989 -RRB- was an American serial killer , kidnapper , rapist , burglar , and necrophile who assaulted and murdered numerous young women and girls during the 1970s , and possibly earlier .",SUPPORTS
Artemis was the protector of Nazgul.,"Artemis -LRB- -LSB- ˈɑːrtᵻmᵻs -RSB- Ἄρτεμις , Modern Greek : Άρτεμις , Ártemis , -LSB- ár.te.mis -RSB- -RRB- was one of the most widely venerated of the Ancient Greek deities .|Shannara -LSB- ˈʃænəɹə -RSB- is a series of high fantasy novels written by Terry Brooks , beginning with The Sword of Shannara in 1977 and continuing through The Sorcerer 's Daughter which was released in May 2016 ; there is also a prequel , First King of Shannara .|Protector may refer to :",NOT ENOUGH INFO
Marcus Rashford's favorite year is 1997.,"Carlos Henrique José Francisco Venâncio Casimiro -LRB- born 23 February 1992 -RRB- , known as Casemiro , is a Brazilian professional footballer who plays for Spanish club Real Madrid and the Brazilian national team as a defensive midfielder .|Marcus Rashford -LRB- born 31 October 1997 -RRB- is an English professional footballer who plays as a forward for Premier League club Manchester United and the England national team .|",NOT ENOUGH INFO
Ethnic Albanians shun the term Albanian diaspora for those living outside southeastern Europe.,"Albanians -LRB- Shqiptarët -RRB- are an ethnic group , native to Albania , Kosovo and neighboring countries .|Those may refer to :|Southeast Europe or Southeastern Europe is a geographical region of Europe , consisting primarily of the coterminous Balkan peninsula .",NOT ENOUGH INFO
Chinese people only can be associated with Spain through nationality.,"Chinese people are the various individuals or groups of people associated with China , either through ancestry , ethnicity , nationality , citizenship , or other affiliation .",REFUTES
Schindler's List was released in 1993.,Schindler 's List is a 1993 American epic historical period drama film directed and co-produced by Steven Spielberg and scripted by Steven Zaillian .,SUPPORTS
Octavia Spencer worked in the Divergent film series starting in 2012.,"Octavia Lenora Spencer -LRB- born May 25 , 1972 -RRB- is an American actress and author .|The Divergent Series is a feature film series based on the Divergent novels by the American author Veronica Roth .|2012 was designated as :",NOT ENOUGH INFO
"Today, elephants are rewarded for entertainment in circuses.","Today may refer to :|Elephants are large mammals of the family Elephantidae and the order Proboscidea .|Entertainment is a form of activity that holds the attention and interest of an audience , or gives pleasure and delight .|A circus is a company of performers who put on diverse entertainment shows that include clowns , acrobats , trained animals , trapeze acts , musicians , dancers , hoopers , tightrope walkers , jugglers , magicians , unicyclists , as well as other object manipulation and stunt-oriented artists .",NOT ENOUGH INFO
Zeus is an angel.,"Zeus -LSB- ˈzju : s -RSB- -LRB- Ζεύς , Zeús , -LSB- zdeǔ̯s -RSB- Modern Δίας , Días -LSB- ˈði.as -RSB- -RRB- is the sky and thunder god in ancient Greek religion , who ruled as king of the gods of Mount Olympus .|In Indo-European cultures , the thunder god is frequently known as the chief or king of the gods , e.g. Indra in Hinduism , Zeus in Greek mythology , and Perun in ancient Slavic religion ; or a close relation thereof , e.g. Thor , son of Odin , in Norse mythology .",REFUTES
Escape from Planet Earth is an American film.,"Escape from Planet Earth is a 2013 Canadian-American 3D computer animated science fiction-comedy film produced by Rainmaker Entertainment and distributed by The Weinstein Company in the United States and Alliance Films in Canada , directed by Cal Brunker which he co-wrote with Bob Barlen , and starring the voices of Rob Corddry , Brendan Fraser , Sarah Jessica Parker , William Shatner , Jessica Alba , Craig Robinson , George Lopez , Jane Lynch and Sofía Vergara .",SUPPORTS
Venus Williams has won multiple Wimbledons.,Her five Wimbledon singles titles ties her with two other women for eighth place on the all-time list .,SUPPORTS
Quentin Tarantino directed a creative work.,"His career began in the late 1980s , when he wrote and directed My Best Friend 's Birthday , the screenplay of which formed the basis for True Romance .",SUPPORTS
Joaquin Phoenix campaigns for In Defense of Animals each fall.,"Joaquín Rafael Phoenix -LRB- -LSB- ˌhwɑːˈkiːn -RSB- born Joaquín Rafael Bottom ; October 28 , 1974 -RRB- , known formerly as Leaf Phoenix , is a Puerto Rican -- born American actor , producer , music video director , musician and activist .|In Defense of Animals -LRB- IDA -RRB- is an animal rights organization founded in 1983 in San Rafael , California , USA .|Defense or defence may refer to :|Animals are multicellular , eukaryotic organisms of the kingdom Animalia -LRB- also called Metazoa -RRB- .|The American rock band Fall Out Boy has released six studio albums , two live albums , one compilation album , five extended plays , twenty-one singles , and thirty-three music videos .",NOT ENOUGH INFO
The Beatles had Stuart Sutcliffe initially serve as their agent.,"The Beatles built their reputation playing clubs in Liverpool and Hamburg over a three-year period from 1960 , with Stuart Sutcliffe initially serving as bass player .",REFUTES
50 First Dates has no comedic elements.,50 First Dates is a 2004 American romantic comedy film directed by Peter Segal and written by George Wing .,REFUTES
Dan Martin is a professional BMX biker.,"Dale Holmes -LRB- born 6 October 1971 , Heanor , Derbyshire -RRB- is a British former professional `` Old/Mid School '' Bicycle Motocross -LRB- BMX -RRB- racer whose prime competitive years were from 1983 to 2009 .",NOT ENOUGH INFO
A Nightmare on Elm Street was directed by Craven.,"A Nightmare on Elm Street is a 1984 American slasher film written and directed by Wes Craven , and the first film of the Nightmare on Elm Street franchise .",SUPPORTS
Charlize Theron acted in The Burning Plain.,"She had producing credits on the films The Burning Plain -LRB- 2008 -RRB- and Dark Places -LRB- 2015 -RRB- , both of which she starred in .|The film stars Charlize Theron , Jennifer Lawrence , Kim Basinger and Joaquim de Almeida .",SUPPORTS
Maria I of Portugal was Queen of the Algarves and she was successful.,"Dona Maria I -LRB- English : Mary I ; 17 December 1734 -- 20 March 1816 -RRB- was Queen of Portugal , Brazil , and the Algarves .|Dona Maria I -LRB- English : Mary I ; 17 December 1734 -- 20 March 1816 -RRB- was Queen of Portugal , Brazil , and the Algarves .|Portugal -LRB- Portuguese : -LSB- puɾtuˈɣaɫ -RSB- -RRB- , officially the Portuguese Republic -LRB- -LSB- República Portuguesa , links = no -RSB- -RRB- -LRB- Portuguese : -LSB- ʁɨ ` publikɐ puɾtu ' ɣezɐ -RSB- -RRB- In recognized minority languages of Portugal :|The Monarchs of Portugal ruled from the establishment of the Kingdom of Portugal , in 1139 , to the deposition of the Portuguese monarchy and creation of the Portuguese Republic with the 5 October 1910 revolution .|Queen may refer to :|The Algarve -LRB- -LSB- ɑɫˈɣaɾβɨ -RRB- -RSB- , from الغرب al-Gharb `` the West '' -RRB- is the southernmost region of continental Portugal .|She is a feminine third-person , singular personal pronoun -LRB- subjective case -RRB- in Modern English .",NOT ENOUGH INFO
International Relations includes communication.,"For example , international relations draws from the fields of : technology and engineering , economics , communication studies , history , international law , demography , philosophy , geography , social work , sociology , anthropology , criminology , psychology , gender studies , cultural studies , culturology , and diplomacy .",SUPPORTS
Edgar Award honors the best in television dramas.,The Golden Globe Award for Best Television Series -- Drama is one of the annual Golden Globe Awards given to the best drama television series .|Best or The Best may refer to :,NOT ENOUGH INFO
Star Wars is a franchise based on a film series by a German filmmaker.,"Star Wars is an American epic space opera franchise , centered on a film series created by George Lucas .|Franchise may refer to :|A film series -LRB- also referred to as a film franchise -RRB- is a collection of related films in succession that share the same fictional universe , or are marketed as a series .|This is a list of notable Germans or German-speaking or - writing persons .",NOT ENOUGH INFO
Jemaine Clement refuses to have anything to do with comedy.,"Jemaine Clement -LRB- born 10 January 1974 -RRB- is a New Zealand comedian , actor , voice actor , singer , writer , director , and multi-instrumentalist , known as one half of the musical comedy duo Flight of the Conchords along with Bret McKenzie .",SUPPORTS
Bermuda is an associate member of the Red Sox.,"Bermuda -LRB- -LSB- pronbərˈmjuːdə -RSB- -RRB- is a British Overseas Territory in the North Atlantic Ocean .|The International Cricket Council -LRB- ICC -RRB- was founded at Lord 's on 15 June 1909 as the Imperial Cricket Conference , with Australia , England , and South Africa as its founding members .|The Boston Red Sox are an American professional baseball team based in Boston , Massachusetts .",NOT ENOUGH INFO
Usain Bolt has competed in a sprint race in track and field in world competitions.,"Due to his unprecedented dominance and achievements in sprint competition , he is widely considered to be the greatest sprinter of all time .",SUPPORTS
The main successor to the internet was the ARPANET.,"The primary precursor network , the ARPANET , initially served as a backbone for interconnection of regional academic and military networks in the 1980s .",REFUTES
Sarrainodu is an action movie.,Sarrainodu -LRB- The Right Person -RRB- is a 2016 Indian Telugu-language action-masala film written and directed by Boyapati Srinu .,SUPPORTS
Michael Fassbender appeared in a film written by Cormac McCarthy.,"Michael Fassbender -LRB- born 2 April 1977 -RRB- is a German-born Irish actor .|Cormac McCarthy -LRB- born Charles McCarthy ; July 20 , 1933 -RRB- is an American novelist , playwright , and screenwriter .",NOT ENOUGH INFO
"Jawbreaker (film) stars an Italian-born American actress, film producer, director and singer.","The film stars Rose McGowan , Rebecca Gayheart , Julie Benz , and Judy Greer as girls in an exclusive clique in their high school .|Rose Arianna McGowan -LRB- born September 5 , 1973 -RRB- is an Italian-born American actress , film producer , director and singer .",SUPPORTS
Tim Rice wrote Joseph and the Amazing Technicolor Dreamcoat with David Gilmour.,"Sir Timothy Miles Bindon `` Tim '' Rice -LRB- born 10 November 1944 -RRB- is an English author and Academy Award , Golden Globe Award , Tony Award , and Grammy Award-winning lyricist .|Joseph and the Amazing Technicolor Dreamcoat is a musical with lyrics by Tim Rice and music by Andrew Lloyd Webber .|Joseph is a masculine given name originating from Hebrew , recorded in the Hebrew Bible , as יוֹסֵף , Standard Hebrew Yossef , Tiberian Hebrew and Aramaic Yôsēp̄ .|Joseph and the Amazing Technicolor Dreamcoat is a musical with lyrics by Tim Rice and music by Andrew Lloyd Webber .|David Jon Gilmour , -LRB- born 6 March 1946 -RRB- is an English singer , songwriter , composer , multi-instrumentalist , and record producer .",NOT ENOUGH INFO
Kurt Sutter is the creator of Sons of Anarchy.,"Sutter is also the creator of Sons of Anarchy on FX ; he wrote , produced , and directed the series , as well as played incarcerated club member Otto Delaney .",SUPPORTS
La La Anthony has a middle name.,"Alani Nicole `` La La '' Anthony -LRB- née Vázquez ; born June 25 , 1979 -RRB- is a television personality , New York Times best-selling author , business woman , producer and actress .",SUPPORTS
Lisa Marie Presley is an American singer.,"Lisa Marie Presley -LRB- born February 1 , 1968 -RRB- is an American singer , songwriter and actress .",SUPPORTS
Kingdom Hearts III is owned by Boyz II Men.,"Set after the events of Kingdom Hearts 3D : Dream Drop Distance , returning protagonist Sora is joined by Donald Duck , Goofy , King Mickey and Riku in their search for the seven guardians of light and the `` Key to Return Hearts '' as they attempt to thwart Master Xehanort 's plan to bring about a second Keyblade War .|is a series of crossover action role-playing games owned by Disney Interactive Studios and developed and published by Square Enix -LRB- originally by Square -RRB- .",REFUTES
Keanu Reeves is a film actor.,"He gained fame for his starring role performances in several blockbuster films including comedies from the Bill and Ted franchise -LRB- 1989 -- 1991 -RRB- ; action thrillers Point Break -LRB- 1991 -RRB- , Speed -LRB- 1994 -RRB- , and the John Wick franchise ; psychological thriller The Devil 's Advocate -LRB- 1997 -RRB- ; supernatural thriller Constantine -LRB- 2005 -RRB- ; and science fiction/action series The Matrix -LRB- 1999 -- 2003 -RRB- .",SUPPORTS
Dwayne Johnson won the WWF Intercontinental Championship twice.,He won the WWF Intercontinental Championship twice and the WWF Tag Team Championship five times .,SUPPORTS
Heartland is a canadian TV series.,"Heartland is a Canadian family drama television series which debuted on CBC on October 14 , 2007 .",SUPPORTS
"By the metrics of the RIAA, The Beatles have sold more than any recording artist in America.","According to the RIAA , the Beatles are also the best-selling music artists in the United States , with 178 million certified units .",SUPPORTS
The national tree of Bangladesh is the mango.,"It is the national fruit of India , Pakistan , and the Philippines , and the national tree of Bangladesh .",SUPPORTS
"There are two major contemporary political parties, and William Jennings Bryan belongs to one of them.","William Jennings Bryan -LRB- March 19 , 1860 -- July 26 , 1925 -RRB- was an American orator and politician from Nebraska , and a dominant force in the populist wing of the Democratic Party , standing three times as the Party 's nominee for President of the United States -LRB- 1896 , 1900 , and 1908 -RRB- .|The Democratic Party is one of the two major contemporary political parties in the United States , along with the Republican Party .",SUPPORTS
Iris Murdoch was a writer.,"Dame Jean Iris Murdoch -LRB- -LSB- ˈmɜrdɒk -RSB- 15 July 1919 -- 8 February 1999 -RRB- was an Anglo-Irish novelist and philosopher , best known for her novels about good and evil , sexual relationships , morality , and the power of the unconscious .",SUPPORTS
David Koepp is a director.,"David Koepp -LRB- born June 9 , 1963 -RRB- is an American screenwriter and director .",SUPPORTS
"A block is also called a ""swat.""","Nicknames for blocked shots include `` rejections , '' `` stuffs , '' `` bushed '' , `` fudged '' , or notably `` double-fudged '' -LRB- two-handed blocks -RRB- , `` facials , '' `` swats , '' `` denials , '' and `` packs . ''",SUPPORTS
Alessia Cara is a French singer.,"Alessia Caracciolo -LRB- -LSB- aˈlɛssja kaˈrattʃolo -RSB- ; born July 11 , 1996 -RRB- , professionally known as Alessia Cara , is a Canadian singer and songwriter .",NOT ENOUGH INFO
Robert Richardson has collaborated with director John Sayles.,"John Thomas Sayles -LRB- born September 28 , 1950 -RRB- is an American independent film director , screenwriter , editor , actor and novelist .",NOT ENOUGH INFO
Paul Pogba made it to the 2015 UEFA Champions League Final with the Juventus team.,"In 2016 , Pogba was named to the 2015 UEFA Team of the Year as well as the 2015 FIFA FIFPro World XI , after helping Juventus to the 2015 UEFA Champions League Final .",SUPPORTS
Leroy Jethro Gibbs is a character on the NFL series NCIS.,"Leroy Jethro Gibbs is a fictional character of the CBS TV series NCIS , portrayed by Mark Harmon .",REFUTES
Leslie Howard was an actor.,"Leslie Howard -LRB- born Leslie Howard Steiner , 3 April 18931 June 1943 -RRB- was an English stage and film actor , director and producer .",SUPPORTS
Catching Fire is written.,"Catching Fire is a 2009 science fiction young adult novel by the American novelist Suzanne Collins , the second book in The Hunger Games trilogy .",SUPPORTS
Avatar: The Last Airbender aired on Nickelodeon.,Avatar : The Last Airbender -LRB- Avatar : The Legend of Aang in some regions -RRB- is an American animated television series that aired for three seasons -LRB- referred to as `` books '' in each episode 's title card -RRB- on Nickelodeon from 2005 to 2008 .,SUPPORTS
Harry Hopman's widow has attended Hopman Cup.,"Since the Hopman Cup was founded in 1989 , it has been attended each year by Harry Hopman 's widow , his second wife Lucy , who travels to the tournament annually from her home in the United States .",SUPPORTS
Faith Evans made her first album in Paris.,"Faith Renée Evans -LRB- born June 10 , 1973 -RRB- is an American singer-songwriter .|Paris Jackson -LRB- born July 24 , 1980 -RRB- is a professional Canadian football slotback who was most recently a member of the Edmonton Eskimos of the Canadian Football League .|Paris -LRB- French pronunciation : -LSB- pɑʁi -RSB- , -LSB- paʁi -RSB- -RRB- is the capital and most populous city of France .",NOT ENOUGH INFO
Stephen Rider is a Seventh Day Adventist.,"Stephen Rider is an American film and television actor , best known for playing Admiral Stephen W. Rochon in the film The Butler and Eric Millworth in the series Lucky 7 .|The Seventh-day Adventist Church is a Protestant Christian denomination distinguished by its observance of Saturday , the seventh day of the week in Christian and Jewish calendars , as Sabbath , and by its emphasis on the imminent Second Coming -LRB- advent -RRB- of Jesus Christ .",NOT ENOUGH INFO
Frank Zappa's debut was Freak Out!,"His 1966 debut album with the Mothers of Invention , Freak Out !",SUPPORTS
Ruth Negga only acts in Irish cinema.,"Ruth Negga -LRB- -LSB- ˈneɪgə -RSB- born 7 January 1982 -RRB- is an Ethiopian born Irish actress , who has appeared in the films Capital Letters -LRB- 2004 -RRB- -LRB- also released as Trafficked in some countries -RRB- , Isolation -LRB- 2005 -RRB- , Breakfast on Pluto -LRB- 2005 -RRB- and Warcraft -LRB- 2016 -RRB- .|Warcraft -LRB- alternatively known as Warcraft : The Beginning -RRB- is a 2016 American action-fantasy film directed by Duncan Jones and written by Jones , Charles Leavitt , and Chris Metzen .",REFUTES
George VI was succeeded by Mary I.,"He was succeeded by his eldest daughter , Elizabeth II .",REFUTES
50 Cent was ranked as the third-best rapper of the 90s.,"Curtis James Jackson III -LRB- born July 6 , 1975 -RRB- , known professionally as 50 Cent , is an American rapper , actor , businessman , and investor .|Chancelor Johnathan Bennett -LRB- born April 16 , 1993 -RRB- , known professionally as Chance the Rapper , is an American rapper , singer , songwriter , record producer , and philanthropist from the West Chatham neighborhood of Chicago , Illinois .|Chancelor Johnathan Bennett -LRB- born April 16 , 1993 -RRB- , known professionally as Chance the Rapper , is an American rapper , singer , songwriter , record producer , and philanthropist from the West Chatham neighborhood of Chicago , Illinois .|`` That '90s Show '' is the eleventh episode of The Simpsons ' nineteenth season .",NOT ENOUGH INFO
Tetris has sold approximately 70 million cars.,"Tetris -LRB- , pronounced -LSB- ˈtɛtrʲɪs -RSB- -RRB- is a tile-matching puzzle video game , originally designed and programmed by Russian game designer Alexey Pajitnov .|Best selling automobiles are those passenger cars and light trucks which , since the introduction of the Benz Patent Motorwagen in 1886 , can lay claim to being the highest selling vehicles in the markets they compete in .",NOT ENOUGH INFO
Kid Rock signed a recording contract with Ryan Gosling.,"Robert James Ritchie -LRB- born January 17 , 1971 -RRB- , known professionally as Kid Rock , is an American singer , rapper , songwriter , musician , record producer , and actor .|A recording contract -LRB- commonly called a record contract or record deal -RRB- is a legal agreement between a record label and a recording artist -LRB- or group -RRB- , where the artist makes a record -LRB- or series of records -RRB- for the label to sell and promote .|Ryan Thomas Gosling -LRB- born November 12 , 1980 -RRB- is a Canadian actor and musician .",NOT ENOUGH INFO
Psychological findings link to research and perspectives from an academic discipline.,"Psychology has been described as a `` hub science '' , with psychological findings linking to research and perspectives from the social sciences , natural sciences , medicine , humanities , and philosophy .|Humanities are academic disciplines that study aspects of human culture .",SUPPORTS
Future married a Canadian singer.,The future is what will happen in the time after the present .,NOT ENOUGH INFO
Huntington's disease research is being conducted on non-human animals.,"Huntington 's disease -LRB- HD -RRB- , also known as Huntington 's chorea , is an inherited disorder that results in death of brain cells .|Huntington 's disease -LRB- HD -RRB- , also known as Huntington 's chorea , is an inherited disorder that results in death of brain cells .|Animal sexual behaviour takes many different forms , including within the same species .",NOT ENOUGH INFO
